"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Wed Dec 02 09:30:17 CST 2020","Wed Dec 02 09:30:17 CST 2020","0","TestCase_001_ysy","test_ysy_005_home","TestYsy005Home","","","test_home_003_login_Score[case0]","
            用例描述：首页--每日登陆获取积分
        "
"skipped","Wed Dec 02 09:30:17 CST 2020","Wed Dec 02 09:30:17 CST 2020","0","TestCase_001_ysy","test_ysy_001_login","TestYsy001Login","","","test_login_003_get_User_Privacy_Policy[case0]","
            用例描述：用户隐私协议
        "
"passed","Wed Dec 02 09:14:53 CST 2020","Wed Dec 02 09:14:56 CST 2020","2920","TestCase_001_ysy","test_ysy_003_biotope_serve","TestYsy003BiotopeServe","","","test_biotope_serve_002_notice_newest[case1]","
            用例描述：首页刷新--广播
        "
"passed","Wed Dec 02 09:17:02 CST 2020","Wed Dec 02 09:17:05 CST 2020","2440","TestCase_001_ysy","test_ysy_009_biotope_fee","TestYsy009BiotopeFee","","","test_fee_002_fee_stayFee[case1]",""
"skipped","Wed Dec 02 09:30:52 CST 2020","Wed Dec 02 09:30:52 CST 2020","0","TestCase_004_ysy_property","test_ysy_pro_002_home","TestYsyPro002Home","","","test_ysy_pro_005_get_Property_Info[case0]","
            用例描述：物业app密码登录
        "
"passed","Wed Dec 02 09:18:08 CST 2020","Wed Dec 02 09:18:11 CST 2020","3012","TestCase_001_ysy","test_ysy_010_home_door","TestYsy010HomeDoor","","","test_home_door_002_get_Face_List[case3]","
            用例描述：首页-智慧门禁--人像管理--人像列表
        "
"skipped","Wed Dec 02 09:30:52 CST 2020","Wed Dec 02 09:30:52 CST 2020","0","TestCase_004_ysy_property","test_ysy_pro_002_home","TestYsyPro002Home","","","test_ysy_pro_004_adImg_list_biotopeId[case0]","
            用例描述：物业app密码登录
        "
"skipped","Wed Dec 02 09:30:17 CST 2020","Wed Dec 02 09:30:17 CST 2020","0","TestCase_001_ysy","test_ysy_001_login","TestYsy001Login","","","test_login_006_health_Plan[case0]","
            用例描述：首页-健康计划
        "
"passed","Wed Dec 02 09:20:54 CST 2020","Wed Dec 02 09:21:02 CST 2020","7273","TestCase_004_ysy_property","test_ysy_pro_002_home","TestYsyPro002Home","","","test_ysy_pro_008_Health_Check_visitAdd[case3]","
            用例描述：物业app密码登录
        "
"skipped","Wed Dec 02 09:30:17 CST 2020","Wed Dec 02 09:30:17 CST 2020","0","TestCase_001_ysy","test_ysy_001_login","TestYsy001Login","","","test_login_005_family_Info[case0]","
            用例描述：家庭信息
        "
"passed","Wed Dec 02 09:20:52 CST 2020","Wed Dec 02 09:20:54 CST 2020","2408","TestCase_004_ysy_property","test_ysy_pro_002_home","TestYsyPro002Home","","","test_ysy_pro_008_Health_Check_visitAdd[case2]","
            用例描述：物业app密码登录
        "
"passed","Wed Dec 02 09:21:49 CST 2020","Wed Dec 02 09:21:53 CST 2020","3387","TestCase_004_ysy_property","test_ysy_pro_003_my_task","TestYsyPro002MyTask","","","test_ysy_pro_009_get_Repair_List_1[case8]","
            用例描述：物业app密码登录
        "
"skipped","Wed Dec 02 09:30:52 CST 2020","Wed Dec 02 09:30:52 CST 2020","0","TestCase_004_ysy_property","test_ysy_pro_002_home","TestYsyPro002Home","","","test_ysy_pro_002_receive_setting_info[case0]","
            用例描述：物业app密码登录
        "
"passed","Wed Dec 02 09:17:10 CST 2020","Wed Dec 02 09:17:12 CST 2020","2365","TestCase_001_ysy","test_ysy_009_biotope_fee","TestYsy009BiotopeFee","","","test_fee_003_fee_history[case2]",""
"skipped","Wed Dec 02 09:30:52 CST 2020","Wed Dec 02 09:30:52 CST 2020","0","TestCase_004_ysy_property","test_ysy_pro_003_my_task","TestYsyPro002MyTask","","","test_ysy_pro_012_public_AreaRepair_publish[case0]","
            用例描述：物业app密码登录
        "
"passed","Wed Dec 02 09:21:02 CST 2020","Wed Dec 02 09:21:13 CST 2020","11336","TestCase_004_ysy_property","test_ysy_pro_002_home","TestYsyPro002Home","","","test_ysy_pro_008_Health_Check_visitAdd[case4]","
            用例描述：物业app密码登录
        "
"skipped","Wed Dec 02 09:30:17 CST 2020","Wed Dec 02 09:30:17 CST 2020","0","TestCase_001_ysy","test_ysy_008_repair","TestYsy007Myself","","","test_repair_003_cur_Repair_List[case0]","
            用例描述：报修历史记录
        "
"passed","Wed Dec 02 09:19:38 CST 2020","Wed Dec 02 09:19:40 CST 2020","2746","TestCase_004_ysy_property","test_ysy_pro_001_login","TestYsyPro001Login","","","test_ysy_pro_002_myself[case1]","
            用例描述:我的--我的个人资料
        "
